Symbol,Description,Exchange
JPS,Nuveen,NYSE
SLG,SL,NYSE
ONEQ,Nasdaq,NASDAQ
GSM,Ferroglobe,NASDAQ
VKTX,Viking,NASDAQ
GIGM,Gigamedia,NASDAQ
PZC,Pimco,NYSE
FAIL,NoExist,NASDAQ
CLFD,Clearfield,NASDAQ
ADRD,Bldrs,NASDAQ
SNFCA,Security,NASDAQ
