Symbol,marketcap
BFRA,284533297
BFST,321744561
BGCP,2067052000
BGFV,84427400
BGNE,8213679610
BGRN,25880000
BHBK,665037357
BHF,5063293035
BHFAL,0
BHTG,31943444
BIB,298878000
BICK,154784055
BIDU,58268868815
BIIB,63995268699
BILI,3761938056
BIMI,59753250
BIOC,5808692
BIOL,46680115
BIOS,440461387
BIQI,18879301
BIS,26555465
BJRI,1037990655
BKCC,460247852
BKEP,77959924
BKEPP,172507301
BKNG,88513600645
BKSC,100804592
BKYI,16913220
BL,2850279914
BLBD,514289646
BLCM,138755709
BLCN,77245522
BLDP,841766664
BLDR,1627947679
BLFS,333920794
BLIN,3213020
BLKB,3737235190
BLMN,2016316431
BLMT,342494434
BLNK,90275743
BLNKW,0
BLPH,39321128
BLRX,59974116
BLUE,7182470053
BMCH,1185560464
BMLP,48433000
BMRA,23787200
BMRC,624375395
BMRN,15646317254
BMTC,824296798
BNCL,1212531537
BND,37373169210
BNDW,98475000
BNDX,12453844528
BNFT,1917632820
BNGO,39930094
BNGOW,0
BNSO,13430055
BNTC,21204927
BOCH,191434480
BOJA,610970655
BOKF,6661995229
BOKFL,0
BOLD,1121463515
BOMN,529746652
BOOM,725857015
BOSC,12661883
BOTJ,64144087
BOTZ,0
BOXL,30414525
BPFH,1011396821
BPMC,3264633855
BPOP,5678752453
BPOPM,0
BPOPN,315120000
BPR,15378238006
BPRAP,0
BPRN,216086409
BPTH,3867521
BPY,8540380480
BRAC,179544087
BRACR,0
BRACW,0
BREW,328908501
BRID,216391675
BRKL,1292133210
BRKR,5919831278
BRKS,2337425496
BRPA,93065650
BRPAR,0
BRPAW,0
BRQS,129861947
BRY,1034519412
BSET,205863787
BSGM,89818841
BSQR,30720812
BSRR,420150632
BSTC,516529525
BSVN,165546875
BTAI,127198281
BTEC,54846198
BURG,7579424
BUSE,1515250514
BVNSC,0
BVSN,6598883
BVXV,33134929
BVXVW,0
BWB,341905033
BWEN,20301668
BWFG,243973051
BWMC,0
BWMCU,0
BYFC,33618188
BYSI,418536834
BZUN,2110768551
CAAS,98729292
CAC,712862308
CACC,8292247922
CACG,58712091
CADC,16809724
CAKE,2154786191
CALA,216172810
CALM,2170264203
CAMP,496757037
CAMT,335555805
CAPR,12989263
CAR,2732639056
CARA,668622531
CARB,799324921
CARG,4650797486
CARO,837588338
CART,59903981
CARV,12945324
CARZ,20622069
CASA,856719708
CASH,977615777
CASI,339722679
CASM,68236411
CASS,784728399
CASY,4936618539
CATB,36729209
CATC,354692398
CATH,0
CATM,1440853500
CATS,175720561
CATY,3183047024
CBAN,138074246
CBAT,29845175
CBAY,674039734
CBFV,140424671
CBIO,99841214
CBLI,15026658
CBLK,855079197
CBMB,54508160
CBMG,330033264
CBNK,162565775
CBPO,3180394333
CBRL,4099543344
CBSH,7070654039
CBSHP,2355158383
CBTX,845094510
CCB,199211150
CCBG,437039308
CCCL,9782825
CCD,474921873
CCIH,30904382
CCLP,118617424
CCMP,3081427602
CCNE,433788843
CCNI,18860167
CCOI,2361700484
CCRC,194110464
CCRN,339306870
CCXI,586639013
CDC,29016000
CDEV,3467070154
CDK,7255764232
CDL,0
CDLX,396755095
CDMO,229317576
CDMOP,18032770
CDNA,1219571652
CDNS,15960772940
CDTX,76316435
CDW,14361041632
CDXC,211593539
CDXS,1181332063
CDZI,245170590
CECE,261778968
CECO,1158032467
CELC,241276345
CELG,62489324554
CELGZ,0
CELH,183044752
CEMI,119450929
CENT,1799312262
CENTA,1605308526
CENX,811474144
CERC,216670244
CERN,18725355219
CERS,895548713
CETV,943143756
CETX,9329012
CETXP,0
CETXW,0
CEVA,639987427
CEY,0
CEZ,0
CFA,10062280
CFBI,76395290
CFBK,54771123
CFFAU,0
CFFAW,0
CFFI,181145062
CFFN,1907269727
CFMS,89448504
CFO,32809000
CFRX,36528396
CG,6165215329
CGBD,951669182
CGEN,214488859
CGIX,10260602
CGNX,8924669222
CGO,102871549
CGVIC,0
CHCI,8060205
CHCO,1317115800
CHDN,11834730978
CHEF,968337097
CHEK,10234913
CHEKW,0
CHEKZ,0
CHFC,3371422495
CHFS,23274
CHI,726842082
CHIC,20672000
CHKE,10951738
CHKP,19523098299
CHMA,97478266
CHMG,234059550
CHNA,2157990
CHNR,42637524
CHRS,1002688471
CHRW,12642153892
CHSCL,0
CHSCM,495710000
CHSCN,446544000
CHSCO,312409230
CHSCP,204448701
CHTR,78891861105
CHUY,384773603
CHW,463729469
CHY,807474961
CIBR,801591056
CID,0
CIDM,45106256
CIFS,28306161
CIGI,2630525098
CIL,0
CINF,14020336000
CIVB,323894176
CIVBP,0
CIVEC,0
CIZ,0
CIZN,103534628
CJJD,62214073
CKPT,99075364
CLAR,367050670
CLBK,1850750125
CLBS,41336329
CLCT,157071386
CLDC,28451203
CLDX,68066408
CLFD,196739366
CLGN,21339993
CLIR,30926737
CLIRW,0
CLLS,726827082
CLMT,239148288
CLNE,463918388
CLPS,177922014
CLRB,9753461
CLRBW,0
CLRBZ,0
CLRG,329535000
CLRO,31897094
CLSD,47716092
CLSN,41210035
CLUB,150861698
CLVS,1334663460
CLWT,7113586
CLXT,503568670
CMCO,881179358
CMCSA,174747412974
CMCT,785683610
CMCTP,0
CME,63705740747
CMFN,108228971
CMFNL,0
CMLS,275451584
CMPR,2533570598
CMRX,97390276
CMSS,269680078
CMSSR,0
CMSSU,0
CMSSW,0
CMTA,564920005
CMTL,646415347
CNAC,190859000
CNACR,0
CNACU,192897300
CNACW,0
CNAT,62310844
CNBKA,428617635
CNCE,341131889
CNCR,43336000
CNET,24198815
CNFR,39979342
CNFRL,0
CNMD,2131309477
CNOB,771423375
CNSL,766656348
CNST,245214085
CNTF,11539513
CNTY,256709641
CNXN,1103075593
COCP,82288459
CODA,71771284
CODX,19881937
COHR,3322768792
COHU,760284369
COKE,2121966841
COLB,2807237938
COLL,515668492
COLM,7262807299
COMM,4578755290
COMT,388440000
CONE,5595469856
CONN,727204545
COOP,1321337851
CORE,1428697818
CORT,1316378497
CORV,125844657
COST,95273685487
COUP,5631806415
COWN,506018617
COWNL,0
COWNZ,0
CPAH,9631086
CPHC,67002321
CPIX,85712479
CPLP,289486224
CPRT,13640762329
CPRX,298971238
CPSH,20515499
CPSI,467936555
CPSS,91035882
CPST,63188220
CPTA,138008726
CPTAG,0
CPTAL,0
CRAI,361716035
CRAY,941701053
CRBP,491183516
CREE,5421337715
CREG,10707091
CRESY,915706218
CREX,7952754
CREXW,0
CRIS,36093329
CRMT,582249908
CRNT,318183792
CRNX,551889130
CRON,3917542882
CROX,1888464468
CRSP,1650371427
CRTO,1850416559
CRUS,2353276613
CRUSC,99980000
CRVL,1239252522
CRVS,121227836
CRWS,56180197
CRZO,1079348767
CSA,42426146
CSB,0
CSBR,100890000
CSCO,225292642290
CSF,105132675
CSFL,2539652649
CSGP,14998396682
CSGS,1404904460
CSII,1224726598
CSIQ,1424708525
CSML,392594000
CSOD,3405956220
CSPI,40957806
CSQ,1903437345
CSSE,87466161
CSSEP,0
CSTE,585988140
CSTR,300256774
CSWC,381891812
CSWCL,0
CSWI,864210361
CSX,59793862131
CTAC,274927800
CTACU,0
CTACW,0
CTAS,21368772138
CTBI,770125863
CTG,61263418
CTHR,21598069
CTIB,11689493
CTIC,53413264
CTMX,809677801
CTRC,225758675
CTRE,1915906403
CTRL,485590025
CTRN,264618000
CTRP,17733003557
CTRV,3757467
CTSH,41763260000
CTSO,266824851
CTWS,830948967
CTXR,19699702
CTXRW,0
CTXS,14175592375
CUBA,35830996
CUE,128945132
CUI,40542125
CUR,9430221
CUTR,226215314
CVBF,3216440955
CVCO,1305608920
CVCY,274411552
CVGI,257049445
CVGW,1464208116
CVLT,3109494786
CVLY,206003617
CVTI,452047066
CVV,27997277
CWBC,85779578
CWBR,140436506
CWCO,201568865
CWST,1635788207
CXDC,126122103
CXSE,123607000
CY,5675376612
CYAD,240234580
CYAN,21418524
CYBE,140785199
CYBR,3767399211
CYCC,10249156
CYCCP,1776947
CYOU,1138713336
CYRN,131112544
CYRX,336567071
CYRXW,0
CYTK,398295352
CYTR,20148863
CYTX,3300353
CYTXZ,0
CZFC,64582047
CZNC,325846279
CZR,6061083650
CZWI,132537495
DAIO,52330647
DAKT,372342507
DALI,59646340
DARE,9651726
DAVE,45459630
DAX,15174000
DBVT,469075738
DBX,9532977482
DCAR,4322038
DCIX,12583011
DCOM,733769714
DCPH,1039825760
DDBI,10716000
DDIV,29587547
DDMX,70570664
DDMXU,72232000
DDMXW,0
DELT,16069933
DENN,1147224732
DERM,337388169
DEST,39730691
DFBH,311250000
DFBHU,0
DFBHW,0
DFFN,10365023
DFNL,143112960
DFRG,293898232
DFVS,3812166
DGICA,384342742
DGICB,338533625
DGII,378317291
DGLD,16073814
DGLY,35339909
