Symbol,marketcap
III,197916515
IIIN,441744931
IIIV,579878792
IIJI,1003061761
IIN,238662404
IIVI,2632763452
IJT,5836946000
IKNX,16443654
ILMN,44255820000
ILPT,1412713793
IMDZ,280800947
IMGN,854290112
IMI,52240142
IMKTA,612858224
IMMP,66888632
IMMR,302487856
IMMU,2835469093
IMOS,599901324
IMRN,28859401
IMRNW,0
IMTE,18815646
IMV,237226820
IMXI,407056309
INAP,145931580
INBK,222771673
INBKL,0
INCY,18056771358
INDB,2372794476
INDY,753388000
INFI,94967247
INFN,920430179
INFO,21103783758
INFR,0
INGN,3084834545
INMB,91999416
INNT,47971089
INO,355644549
INOD,37781083
INOV,1950915200
INPX,6338624
INSE,149386865
INSG,418317700
INSM,2196300624
INSY,457501112
INTC,236047530000
INTG,72958224
INTL,809729269
INTU,65127780152
INVA,1520647590
INVE,87940117
INWK,263057716
IONS,8083701928
IOSP,1980079703
IOTS,177782218
IOVA,1208293070
IPAR,2380118638
IPAS,25863461
IPCI,7419758
IPDN,5779768
IPGP,8281655583
IPHS,678925127
IPIC,65189355
IPKW,199776715
IPLDP,0
IPWR,6160192
IQ,140319001495
IRBT,3336253255
IRCP,710719231
IRDM,2403805426
IRDMB,374265000
IRIX,64776077
IRMD,285166935
IROQ,75414675
IRTC,2305744642
IRWD,2200409347
ISBC,3644256741
ISCA,1910523648
ISDS,2334023
ISDX,2343023
ISEM,2651027
ISHG,75475695
ISIG,16102093
ISNS,24522455
ISRG,63181679900
ISRL,327150466
ISSC,52582275
ISTB,2326970000
ISTR,237579686
ITCI,737710942
ITI,154423191
ITIC,326575653
ITRI,2422922112
ITRM,79434363
ITRN,755711443
IUS,2430024
IUSB,2872512000
IUSG,5689785500
IUSS,2332023
IUSV,5141718000
IVAC,142590581
IVENC,0
IVFVC,0
IXUS,13562445000
IZEA,19677833
JACK,2096286689
JAGX,15250345
JAKK,59798322
JASN,69035345
JASNW,0
JAZZ,7601123556
JBHT,11861457210
JBLU,5248418932
JBSS,801172434
JCOM,4264427523
JCS,24269985
JCTCF,30503283
JD,37544018850
JG,976577834
JJSF,2931406625
JKHY,10230531554
JKI,467014500
JMU,71298350
JNCE,141920148
JOBS,4424708237
JOUT,677832335
JRJC,26690151
JRSH,73441493
JRVR,1222097537
JSM,0
JSMD,15533760
JSML,8688020
JSYN,20155948
JSYNR,0
JSYNW,0
JVA,36702010
JYNT,150114729
KALA,303147034
KALU,1785655233
KALV,355020997
KANG,1425666391
KBAL,560220725
KBLM,152643150
KBLMR,0
KBLMW,0
KBSF,8869418
KBWB,677882500
KBWD,305760000
KBWP,63130000
KBWR,99900000
KBWY,357120960
KCAP,137362793
KCAPL,0
KE,420225498
KELYA,974394035
KEQU,86212970
KEYW,365458730
KFFB,66854871
KFRC,1006378569
KGJI,54874207
KHC,42619246679
KIDS,557036764
KIN,412396208
KINS,182637341
KIRK,160617520
KLAC,17329662986
KLIC,1558935474
